Pred_high,Pred_low,Actual_high,Actual_low
788.9435424804688,776.9378662109375,822.0,811.6799926757812
856.6491088867188,843.7177124023438,848.4600219726562,843.75
428.7541809082031,421.67236328125,431.3500061035156,424.75
500.1539611816406,492.09625244140625,540.4400024414061,529.3599853515625
393.4845275878906,386.88494873046875,638.0599975585938,597.5499877929688
421.2019348144531,414.2234191894531,475.8800048828125,464.7999877929688
523.1409301757812,514.7689208984375,538.739990234375,527.1199951171875
324.3999938964844,318.74468994140625,362.8699951171875,354.5
524.2776489257812,515.89013671875,510.8599853515625,497.7200012207031
634.0221557617188,624.1341552734375,753.3599853515625,739.7000122070312
1686.110595703125,1661.83984375,1677.06005859375,1613.75
800.4705200195312,788.307373046875,833.780029296875,824.9400024414062
346.98699951171875,341.023193359375,313.0,307.5199890136719
1353.64404296875,1333.91845703125,1458.97998046875,1320.719970703125
786.8829956054688,774.9053955078125,772.6599731445312,756.0
1885.742919921875,1858.7431640625,1945.0,1832.6500244140625
369.2469177246094,362.97882080078125,361.0799865722656,351.5799865722656
1617.784912109375,1594.4482421875,1589.8900146484375,1575.25
131.75706481933594,128.73550415039062,123.22000122070312,120.04000091552734
215.6389617919922,211.47064208984375,218.5,213.0200042724609
167.705078125,164.19216918945312,191.33999633789062,179.72000122070312
419.6253356933594,412.6685791015625,439.7300109863281,433.5199890136719
1689.623046875,1665.3043212890625,1634.0,1600.56005859375
613.6367797851562,604.0275268554688,498.3800048828125,474.0
324.1333923339844,318.48193359375,356.9599914550781,351.3800048828125
605.67529296875,596.1749267578125,581.52001953125,567.0
1606.5166015625,1583.333984375,1592.050048828125,1575.0
1941.2440185546875,1913.4853515625,1921.010009765625,1900.0
1137.549072265625,1120.777587890625,1170.8699951171875,1160.27001953125
278.63134765625,273.60186767578125,260.29998779296875,255.3300018310547
201.7511749267578,197.7727508544922,240.7400054931641,234.07000732421875
776.3742065429688,764.5404052734375,772.0999755859375,766.1900024414062
304.9579772949219,299.5687255859375,303.6199951171875,298.29998779296875
548.4773559570312,539.7591552734375,536.3900146484375,523.1199951171875
1817.00439453125,1790.9443359375,1836.56005859375,1786.0
384.3399963378906,377.865478515625,432.5,427.2300109863281
979.3071899414062,964.698974609375,983.469970703125,967.6099853515624
371.70050048828125,365.3988952636719,387.80999755859375,381.2099914550781
200.7681427001953,196.80316162109375,192.5,185.67999267578125
2004.083984375,1975.466552734375,1909.8900146484373,1883.47998046875
1788.1495361328125,1762.484130859375,1707.800048828125,1689.010009765625
1794.0740966796875,1768.32763671875,1792.8599853515625,1776.6300048828125
2070.357421875,2040.833740234375,2185.10009765625,2161.1201171875
305.7115478515625,300.31207275390625,301.0,297.2200012207031
871.0172119140625,857.889404296875,850.2999877929688,833.5
183.58148193359375,179.8514404296875,173.3000030517578,168.35000610351562
2690.001953125,2652.007568359375,2584.0,2508.0
1926.7890625,1899.228271484375,2022.9000244140625,2001.550048828125
313.7027893066406,308.19378662109375,340.7200012207031,333.8800048828125
329.9097595214844,324.17919921875,313.94000244140625,309.3399963378906
1825.96240234375,1799.77978515625,1769.5,1757.050048828125
321.0808410644531,315.47119140625,316.55999755859375,304.82000732421875
135.67431640625,132.59925842285156,120.73999786376952,117.0
385.2931823730469,378.8055419921875,323.75,319.0
202.4168243408203,198.42913818359375,196.5,192.3300018310547
397.24749755859375,390.59637451171875,435.20001220703125,430.1700134277344
1885.682861328125,1858.683837890625,1701.5699462890625,1663.3399658203125
1957.75,1929.765869140625,1996.0,1962.22998046875
1489.254638671875,1467.675048828125,1529.4200439453125,1478.5
312.02032470703125,306.534423828125,312.3500061035156,304.8999938964844
1068.8349609375,1053.0028076171875,1007.77001953125,1001.030029296875
857.7771606445312,844.8303833007812,857.3499755859375,851.719970703125
309.979248046875,304.5213928222656,268.25,264.83999633789057
997.0343627929688,982.18408203125,962.0,954.2000122070312
370.70953369140625,364.4211730957031,337.79998779296875,333.7699890136719
1614.4384765625,1591.1474609375,1520.760009765625,1487.0
320.3777770996094,314.7777404785156,383.1099853515625,368.0799865722656
1847.148193359375,1820.6761474609375,1872.8699951171875,1850.6099853515625
326.5769348144531,320.89202880859375,344.3599853515625,334.54998779296875
1078.55078125,1062.5860595703125,970.3900146484376,951.3800048828124
1126.9156494140625,1110.2896728515625,1032.8499755859377,1001.0
315.1191101074219,309.5907897949219,305.1499938964844,301.0
1621.12548828125,1597.743408203125,1718.800048828125,1693.1300048828125
639.6582641601562,629.693359375,626.75,614.8800048828125
900.2211303710938,886.6943359375,893.489990234375,885.4199829101562
333.2476501464844,327.4715576171875,337.1600036621094,334.0199890136719
340.9634704589844,335.08184814453125,397.0,388.4200134277344
161.11744689941406,157.69451904296875,168.80999755859375,164.6199951171875
171.23658752441406,167.67529296875,184.97999572753903,181.88999938964844
663.7962036132812,653.501220703125,714.469970703125,693.9099731445312
420.6513366699219,413.6803283691406,427.489990234375,419.1400146484375
217.57000732421875,213.37530517578125,238.13999938964844,232.25
282.5301208496094,277.4472961425781,273.16000366210943,265.0
178.3543243408203,174.6957244873047,192.4499969482422,185.3000030517578
982.0610961914062,967.415283203125,990.6799926757812,969.2100219726562
