High_regress,Low_regress,Open_regress,Close_regress
133.82632446289062,131.14364624023438,132.12864685058594,132.77517700195312
128.7752685546875,126.16141510009766,127.1292953491211,127.7439193725586
132.49725341796875,129.8326873779297,130.8131866455078,131.45132446289062
172.55186462402344,169.3416290283203,170.45785522460938,171.3489990234375
125.70069885253906,123.12873077392578,124.08618927001953,124.681396484375
159.47572326660156,156.44361877441406,157.5155487060547,158.32408142089844
153.55001831054688,150.59866333007812,151.65049743652344,152.42160034179688
130.14999389648438,127.51739501953125,128.4899444580078,129.11325073242188
128.22125244140625,125.61494445800781,126.58094024658203,127.19207763671875
147.14837646484375,144.2842254638672,145.31436157226562,146.0450439453125
124.4444351196289,121.88957977294922,122.84278106689453,123.4300537109375
117.7322006225586,115.26879119873047,116.1992416381836,116.7441177368164
129.70654296875,127.08000183105469,128.05104064941406,128.6715545654297
128.02987670898438,125.4261703491211,126.39152526855469,127.00144958496094
123.35456085205078,120.8145523071289,121.7640609741211,122.34444427490234
125.04438018798828,122.48135375976562,123.43658447265625,124.02764892578125
175.6688232421875,172.41612243652344,173.5429229736328,174.45375061035156
118.53004455566406,116.0557632446289,116.98892211914062,117.53883361816406
191.38328552246094,187.91650390625,189.0965576171875,190.10665893554688
120.00355529785156,117.50920104980469,118.44734954833984,119.00657653808594
149.3377227783203,146.44374084472656,147.48130798339844,148.22581481933594
162.6689453125,159.59335327148438,160.6761016845703,161.5048065185547
130.855712890625,128.21353149414062,129.18846130371094,129.81622314453125
121.90072631835938,119.38052368164062,120.32510375976562,120.89630889892578
157.9362335205078,154.92510986328125,155.9918212890625,156.79063415527344
145.1888885498047,142.3514404296875,143.37493896484375,144.09323120117188
134.8294677734375,132.1331329345703,133.12152099609375,133.77438354492188
178.08517456054688,174.799560546875,175.93455505371094,176.8606414794922
120.87696075439453,118.3707046508789,119.31181335449219,119.87655639648438
126.06535339355469,123.48841094970703,124.44710540771484,125.04461669921875
124.69306945800781,122.13482666015625,123.08887481689453,123.67771911621094
126.63920593261719,124.054443359375,125.01508331298828,125.61622619628906
127.00743103027344,124.41765594482422,125.3795394897461,125.9830093383789
179.11288452148438,175.81326293945312,176.9517364501953,177.88430786132812
129.3375244140625,126.71601104736328,127.68579864501953,128.30397033691406
126.68665313720703,124.10124969482422,125.06204986572266,125.66349029541016
127.3039321899414,124.71012115478516,125.67301177978516,126.27835083007812
123.94564056396484,121.39757537841797,122.34908294677734,122.93321228027344
124.47943115234375,121.9240951538086,122.87741088867188,123.46491241455078
144.42893981933594,141.60183715820312,142.6227569580078,143.3362579345703
148.8373260498047,145.95016479492188,146.9860382080078,147.7273712158203
117.48523712158203,115.02518463134766,115.95480346679688,116.49811553955078
128.9923095703125,126.37550354003906,127.3441162109375,127.96012115478516
141.6547393798828,138.8654327392578,139.876953125,140.5729217529297
151.1045379638672,148.1864776611328,149.2300262451172,149.98570251464844
131.921875,129.26515197753906,130.2436981201172,130.87818908691406
137.306640625,134.57656860351562,135.57334899902344,136.24185180664062
131.8602752685547,129.2043914794922,130.18272399902344,130.81683349609375
153.28564453125,150.33787536621094,151.38882446289062,152.15826416015625
133.73873901367188,131.05726623535156,132.04197692871094,132.6879425048828
176.16603088378906,172.90655517578125,174.03504943847656,174.94900512695312
135.1537322998047,132.45298767089844,133.44247436523438,134.09738159179688
134.27626037597656,131.58746337890625,132.57398986816406,133.22335815429688
127.86090850830078,125.25950622558594,126.22428894042969,126.83314514160156
163.30905151367188,160.2247314453125,161.3096466064453,162.14239501953125
153.6640167236328,150.7111053466797,151.76332092285156,152.53515625
134.2599334716797,131.57135009765625,132.5578155517578,133.2070770263672
186.3057403564453,182.90814208984375,184.07098388671875,185.0489959716797
126.01861572265625,123.44230651855469,124.40084838867188,124.99806213378906
170.81576538085938,167.62918090820312,168.73953247070312,169.6197052001953
133.1310577392578,130.45787048339844,131.4405059814453,132.0826416015625
163.85162353515625,160.75991821289062,161.84666442871094,162.68284606933594
128.88070678710938,126.26541137695312,127.23365020751953,127.84894561767578
194.11228942871094,190.60833740234375,191.79763793945312,192.82496643066406
133.4564971923828,130.77886962890625,131.7626190185547,132.40679931640625
170.96241760253906,167.77383422851562,168.88467407226562,169.76577758789062
139.9901885986328,137.2235565185547,138.2294464111328,138.91490173339844
125.6843032836914,123.11255645751953,124.06996154785156,124.66506958007812
140.22268676757812,137.452880859375,138.45956420898438,139.146484375
143.9334716796875,141.1131134033203,142.1323699951172,142.8427276611328
134.3638153076172,131.673828125,132.66064453125,133.31056213378906
140.26962280273438,137.49917602539062,138.50601196289062,139.1932373046875
136.1203155517578,133.40640258789062,134.399169921875,135.0601806640625
178.763427734375,175.4685821533203,176.60586547851562,177.53623962402344
164.884765625,161.77899169921875,162.86923217773438,163.71194458007812
133.4066925048828,130.729736328125,131.71331787109375,132.35719299316406
152.0832977294922,149.15191650390625,150.1987762451172,150.9606170654297
133.4578857421875,130.78024291992188,131.7639923095703,132.40818786621094
127.42168426513672,124.8262710571289,125.78955841064453,126.39564514160156
144.10890197753906,141.28616333007812,142.30599975585938,143.01747131347656
136.9244384765625,134.19956970214844,135.195068359375,135.8611602783203
189.4274444580078,185.98731994628906,187.16073608398438,188.15847778320312
138.0316925048828,135.29173278808594,136.29098510742188,136.9640655517578
140.55580139160156,137.78146362304688,138.78927612304688,139.47830200195312
143.1542510986328,140.34451293945312,141.36111450195312,142.06655883789062
179.85752868652344,176.54776000976562,177.68875122070312,178.62603759765625
